 Total battles: 209237
 Avg. weight/team: 0.622
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Sneasler           | 39.64047% | 145955 | 34.878% | 73787  | 38.180% | 
 | 2    | Incineroar         | 34.34305% | 137952 | 32.965% | 69294  | 35.855% | 
 | 3    | Rillaboom          | 34.13374% | 131105 | 31.329% | 62742  | 32.465% | 
 | 4    | Gholdengo          | 32.20116% | 118672 | 28.358% | 53763  | 27.819% | 
 | 5    | Dragonite          | 29.06747% | 102578 | 24.512% | 43434  | 22.474% | 
 | 6    | Archaludon         | 22.95123% | 92418  | 22.085% | 49714  | 25.723% | 
 | 7    | Kingambit          | 20.38222% | 78991  | 18.876% | 32192  | 16.657% | 
 | 8    | Ursaluna-Bloodmoon | 19.71567% | 77671  | 18.561% | 43346  | 22.429% | 
 | 9    | Pelipper           | 18.31598% | 73452  | 17.552% | 40472  | 20.941% | 
 | 10   | Annihilape         | 17.90430% | 72400  | 17.301% | 32657  | 16.898% | 
 | 11   | Amoonguss          | 17.36993% | 71996  | 17.204% | 29572  | 15.301% | 
 | 12   | Ursaluna           | 16.76537% | 62225  | 14.870% | 33517  | 17.343% | 
 | 13   | Electabuzz         | 15.98052% | 55241  | 13.201% | 19740  | 10.214% | 
 | 14   | Volcarona          | 14.31394% | 53320  | 12.742% | 21855  | 11.308% | 
 | 15   | Basculegion        | 14.23874% | 53297  | 12.736% | 28875  | 14.941% | 
 | 16   | Ninetales-Alola    | 12.17431% | 48524  | 11.595% | 22870  | 11.834% | 
 | 17   | Porygon2           | 11.69011% | 44804  | 10.707% | 20213  | 10.459% | 
 | 18   | Indeedee           | 11.57154% | 41484  |  9.913% | 22018  | 11.393% | 
 | 19   | Garchomp           | 10.73601% | 49730  | 11.884% | 24704  | 12.783% | 
 | 20   | Torkoal            | 10.42494% | 44916  | 10.733% | 27143  | 14.045% | 
 | 21   | Primarina          |  9.94201% | 44257  | 10.576% | 20451  | 10.582% | 
 | 22   | Talonflame         |  9.29917% | 36290  |  8.672% | 11364  |  5.880% | 
 | 23   | Dondozo            |  8.59990% | 30601  |  7.313% | 13894  |  7.189% | 
 | 24   | Maushold           |  8.31272% | 35050  |  8.376% | 13214  |  6.837% | 
 | 25   | Indeedee-F         |  7.48374% | 34346  |  8.207% | 16330  |  8.450% | 
 | 26   | Dragapult          |  7.08330% | 31507  |  7.529% | 14804  |  7.660% | 
 | 27   | Sinistcha          |  7.08129% | 28947  |  6.917% | 13164  |  6.811% | 
 | 28   | Tyranitar          |  6.80080% | 28822  |  6.887% | 16271  |  8.419% | 
 | 29   | Whimsicott         |  6.67218% | 38286  |  9.149% | 13763  |  7.121% | 
 | 30   | Magmar             |  6.60467% | 24912  |  5.953% | 10079  |  5.215% | 
 | 31   | Charizard          |  4.76924% | 19645  |  4.694% | 9430   |  4.879% | 
 | 32   | Farigiraf          |  4.63117% | 26894  |  6.427% | 9561   |  4.947% | 
 | 33   | Baxcalibur         |  4.15591% | 17785  |  4.250% | 8098   |  4.190% | 
 | 34   | Typhlosion-Hisui   |  4.09185% | 23233  |  5.552% | 12364  |  6.397% | 
 | 35   | Kommo-o            |  4.08079% | 15453  |  3.693% | 6400   |  3.312% | 
 | 36   | Jumpluff           |  4.01101% | 15715  |  3.755% | 5109   |  2.644% | 
