 Total battles: 931894
 Avg. weight/team: 0.516
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Incineroar         | 41.91805% | 754602 | 40.488% | 349966 | 41.467% | 
 | 2    | Miraidon           | 36.72882% | 610098 | 32.734% | 397475 | 47.096% | 
 | 3    | Calyrex-Shadow     | 29.90385% | 492060 | 26.401% | 294831 | 34.934% | 
 | 4    | Calyrex-Ice        | 28.41279% | 459364 | 24.647% | 264904 | 31.388% | 
 | 5    | Urshifu-Rapid-Strike | 27.67997% | 444348 | 23.841% | 155134 | 18.382% | 
 | 6    | Rillaboom          | 22.08823% | 366125 | 19.644% | 144697 | 17.145% | 
 | 7    | Zamazenta-Crowned  | 20.43356% | 326645 | 17.526% | 188346 | 22.317% | 
 | 8    | Whimsicott         | 17.55377% | 306283 | 16.433% | 102619 | 12.159% | 
 | 9    | Kyogre             | 17.09828% | 304746 | 16.351% | 192144 | 22.767% | 
 | 10   | Tornadus           | 15.03323% | 268083 | 14.384% | 88977  | 10.543% | 
 | 11   | Amoonguss          | 14.49231% | 295520 | 15.856% | 101825 | 12.065% | 
 | 12   | Lunala             | 14.12556% | 240373 | 12.897% | 134344 | 15.918% | 
 | 13   | Grimmsnarl         | 13.61631% | 223974 | 12.017% | 81273  |  9.630% | 
 | 14   | Farigiraf          | 13.55179% | 226713 | 12.164% | 76961  |  9.119% | 
 | 15   | Koraidon           | 13.46864% | 276397 | 14.830% | 161815 | 19.173% | 
 | 16   | Raging Bolt        | 13.33548% | 206140 | 11.060% | 63183  |  7.486% | 
 | 17   | Smeargle           | 12.81381% | 202089 | 10.843% | 95082  | 11.266% | 
 | 18   | Flutter Mane       | 12.50234% | 246887 | 13.247% | 99427  | 11.781% | 
 | 19   | Iron Hands         | 11.87709% | 198282 | 10.639% | 82712  |  9.800% | 
 | 20   | Indeedee-F         | 11.79293% | 230425 | 12.363% | 103099 | 12.216% | 
 | 21   | Chien-Pao          | 10.88967% | 171554 |  9.205% | 69750  |  8.265% | 
 | 22   | Landorus           |  9.44523% | 135542 |  7.272% | 47901  |  5.676% | 
 | 23   | Chi-Yu             |  9.29513% | 150779 |  8.090% | 57834  |  6.853% | 
 | 24   | Volcarona          |  9.22015% | 129351 |  6.940% | 43918  |  5.204% | 
 | 25   | Ursaluna           |  9.12789% | 154624 |  8.296% | 68832  |  8.156% | 
 | 26   | Groudon            |  7.85894% | 146338 |  7.852% | 90110  | 10.677% | 
 | 27   | Terapagos          |  7.31420% | 141452 |  7.589% | 78432  |  9.293% | 
 | 28   | Zacian-Crowned     |  6.96610% | 129715 |  6.960% | 76979  |  9.121% | 
 | 29   | Urshifu            |  5.93823% | 108653 |  5.830% | 43798  |  5.190% | 
 | 30   | Ogerpon-Cornerstone |  4.97101% | 77728  |  4.170% | 25641  |  3.038% | 
 | 31   | Ogerpon-Hearthflame |  4.64690% | 77393  |  4.152% | 26991  |  3.198% | 
 | 32   | Clefairy           |  3.45023% | 60301  |  3.235% | 22494  |  2.665% | 
 | 33   | Ogerpon-Wellspring |  3.38540% | 66796  |  3.584% | 20996  |  2.488% | 
 | 34   | Weezing-Galar      |  3.22210% | 55909  |  3.000% | 22756  |  2.696% | 
 | 35   | Walking Wake       |  3.19593% | 61011  |  3.273% | 22353  |  2.649% | 
 | 36   | Ho-Oh              |  3.18313% | 66937  |  3.591% | 39310  |  4.658% | 
 | 37   | Torkoal            |  3.13551% | 64879  |  3.481% | 27663  |  3.278% | 
 | 38   | Brute Bonnet       |  3.01663% | 56177  |  3.014% | 19867  |  2.354% | 
 | 39   | Ursaluna-Bloodmoon |  2.69839% | 61877  |  3.320% | 25292  |  2.997% | 
 | 40   | Roaring Moon       |  2.46196% | 37834  |  2.030% | 12020  |  1.424% | 
 | 41   | Iron Bundle        |  2.43782% | 46420  |  2.491% | 16981  |  2.012% | 
 | 42   | Iron Treads        |  2.31668% | 38932  |  2.089% | 12652  |  1.499% | 
 | 43   | Annihilape         |  2.22357% | 45179  |  2.424% | 16931  |  2.006% | 
 | 44   | Ditto              |  2.19776% | 36637  |  1.966% | 16001  |  1.896% | 
 | 45   | Iron Valiant       |  2.09107% | 42003  |  2.254% | 16078  |  1.905% | 
 | 46   | Sinistcha          |  1.96196% | 40250  |  2.160% | 16619  |  1.969% | 
 | 47   | Ting-Lu            |  1.91451% | 33250  |  1.784% | 12690  |  1.504% | 
 | 48   | Iron Jugulis       |  1.88127% | 29672  |  1.592% | 9569   |  1.134% | 
 | 49   | Pelipper           |  1.75323% | 37404  |  2.007% | 13974  |  1.656% | 
 | 50   | Sableye            |  1.73789% | 36637  |  1.966% | 16023  |  1.899% | 
 | 51   | Dondozo            |  1.72843% | 29785  |  1.598% | 15512  |  1.838% | 
 | 52   | Basculegion        |  1.69796% | 33295  |  1.786% | 13235  |  1.568% | 
 | 53   | Archaludon         |  1.66674% | 55196  |  2.961% | 22998  |  2.725% | 
 | 54   | Eternatus          |  1.65591% | 33698  |  1.808% | 18832  |  2.231% | 
 | 55   | Tatsugiri          |  1.56911% | 26956  |  1.446% | 14379  |  1.704% | 
 | 56   | Sneasler           |  1.56523% | 33128  |  1.777% | 14296  |  1.694% | 
 | 57   | Kingambit          |  1.40877% | 31780  |  1.705% | 10591  |  1.255% | 
 | 58   | Scream Tail        |  1.38999% | 33973  |  1.823% | 14715  |  1.744% | 
 | 59   | Raichu             |  1.33723% | 29050  |  1.559% | 11110  |  1.316% | 
 | 60   | Dragonite          |  1.28082% | 29131  |  1.563% | 10174  |  1.206% | 
 | 61   | Maushold           |  1.25113% | 26202  |  1.406% | 10120  |  1.199% | 
 | 62   | Rayquaza           |  1.15328% | 28617  |  1.535% | 14693  |  1.741% | 
 | 63   | Cresselia          |  1.12179% | 28167  |  1.511% | 10648  |  1.262% | 
 | 64   | Ninetales-Alola    |  1.07841% | 30980  |  1.662% | 14517  |  1.720% | 
 | 65   | Gothitelle         |  1.01442% | 32514  |  1.745% | 14126  |  1.674% | 
 | 66   | Rhyperior          |  0.98039% | 18346  |  0.984% | 6556   |  0.777% | 
 | 67   | Entei              |  0.96809% | 16092  |  0.863% | 6741   |  0.799% | 
 | 68   | Jumpluff           |  0.88203% | 19287  |  1.035% | 8181   |  0.969% | 
 | 69   | Kyurem-White       |  0.86202% | 23060  |  1.237% | 14277  |  1.692% | 
 | 70   | Ogerpon            |  0.84395% | 14779  |  0.793% | 4625   |  0.548% | 
 | 71   | Regieleki          |  0.84271% | 18370  |  0.986% | 6500   |  0.770% | 
 | 72   | Landorus-Therian   |  0.82965% | 21843  |  1.172% | 9236   |  1.094% | 
 | 73   | Murkrow            |  0.79707% | 16808  |  0.902% | 5705   |  0.676% | 
 | 74   | Talonflame         |  0.78841% | 20858  |  1.119% | 6684   |  0.792% | 
 | 75   | Hitmontop          |  0.78374% | 17762  |  0.953% | 8477   |  1.004% | 
 | 76   | Giratina-Origin    |  0.76135% | 16599  |  0.891% | 9827   |  1.164% | 
 | 77   | Muk-Alola          |  0.74672% | 15278  |  0.820% | 6445   |  0.764% | 
 | 78   | Rhydon             |  0.72098% | 13677  |  0.734% | 4235   |  0.502% | 
 | 79   | Scraggy            |  0.71488% | 12484  |  0.670% | 5689   |  0.674% | 
 | 80   | Oranguru           |  0.69990% | 14605  |  0.784% | 6870   |  0.814% | 
 | 81   | Dialga-Origin      |  0.66014% | 15216  |  0.816% | 8482   |  1.005% | 
 | 82   | Lilligant-Hisui    |  0.64564% | 16092  |  0.863% | 6217   |  0.737% | 
 | 83   | Hatterene          |  0.64241% | 20423  |  1.096% | 7730   |  0.916% | 
 | 84   | Reshiram           |  0.63549% | 14316  |  0.768% | 8500   |  1.007% | 
 | 85   | Tyranitar          |  0.63065% | 20670  |  1.109% | 9880   |  1.171% | 
 | 86   | Tsareena           |  0.61099% | 10426  |  0.559% | 3808   |  0.451% | 
 | 87   | Flamigo            |  0.60289% | 13851  |  0.743% | 7198   |  0.853% | 
 | 88   | Armarouge          |  0.57878% | 18656  |  1.001% | 7777   |  0.921% | 
 | 89   | Gastrodon          |  0.57749% | 18159  |  0.974% | 6102   |  0.723% | 
 | 90   | Wo-Chien           |  0.57638% | 11274  |  0.605% | 4501   |  0.533% | 
 | 91   | Scovillain         |  0.56790% | 13352  |  0.716% | 6509   |  0.771% | 
 | 92   | Necrozma-Dawn-Wings |  0.56775% | 14350  |  0.770% | 7525   |  0.892% | 
 | 93   | Ceruledge          |  0.56039% | 13718  |  0.736% | 5349   |  0.634% | 
 | 94   | Iron Moth          |  0.55260% | 11962  |  0.642% | 4918   |  0.583% | 
 | 95   | Chesnaught         |  0.54950% | 10778  |  0.578% | 4145   |  0.491% | 
 | 96   | Venusaur           |  0.54819% | 16319  |  0.876% | 7174   |  0.850% | 
 | 97   | Gallade            |  0.52488% | 13698  |  0.735% | 5153   |  0.611% | 
 | 98   | Thundurus          |  0.52117% | 13028  |  0.699% | 4518   |  0.535% | 
 | 99   | Glimmora           |  0.51965% | 11695  |  0.627% | 4041   |  0.479% | 
 | 100  | Zoroark-Hisui      |  0.51079% | 11385  |  0.611% | 3031   |  0.359% | 
 | 101  | Araquanid          |  0.49773% | 12127  |  0.651% | 4491   |  0.532% | 
 | 102  | Comfey             |  0.48274% | 12240  |  0.657% | 5168   |  0.612% | 
 | 103  | Gholdengo          |  0.46369% | 19583  |  1.051% | 7237   |  0.858% | 
 | 104  | Lugia              |  0.45854% | 16475  |  0.884% | 8421   |  0.998% | 
 | 105  | Garganacl          |  0.43506% | 13662  |  0.733% | 5416   |  0.642% | 
 | 106  | Solgaleo           |  0.43117% | 12054  |  0.647% | 6781   |  0.803% | 
 | 107  | Toxapex            |  0.42995% | 11830  |  0.635% | 5276   |  0.625% | 
 | 108  | Overqwil           |  0.42262% | 9208   |  0.494% | 4133   |  0.490% | 
 | 109  | Moltres-Galar      |  0.41209% | 9196   |  0.493% | 3605   |  0.427% | 
 | 110  | Gouging Fire       |  0.39134% | 9885   |  0.530% | 4029   |  0.477% | 
 | 111  | Necrozma-Dusk-Mane |  0.38859% | 11979  |  0.643% | 6410   |  0.760% | 
 | 112  | Mienshao           |  0.38383% | 6954   |  0.373% | 2655   |  0.315% | 
 | 113  | Primarina          |  0.38206% | 13440  |  0.721% | 5532   |  0.655% | 
 | 114  | Porygon2           |  0.37297% | 12970  |  0.696% | 4482   |  0.531% | 
 | 115  | Charizard          |  0.36568% | 12859  |  0.690% | 6070   |  0.719% | 
 | 116  | Mewtwo             |  0.36422% | 12611  |  0.677% | 6730   |  0.797% | 
 | 117  | Palkia-Origin      |  0.35430% | 10380  |  0.557% | 5638   |  0.668% | 
 | 118  | Dragapult          |  0.35388% | 13546  |  0.727% | 5736   |  0.680% | 
 | 119  | Mimikyu            |  0.32713% | 8787   |  0.471% | 2848   |  0.337% | 
 | 120  | Dusclops           |  0.32534% | 8787   |  0.471% | 2970   |  0.352% | 
 | 121  | Palkia             |  0.32441% | 7928   |  0.425% | 4082   |  0.484% | 
 | 122  | Regigigas          |  0.32156% | 10187  |  0.547% | 4448   |  0.527% | 
 | 123  | Okidogi            |  0.32129% | 7169   |  0.385% | 2701   |  0.320% | 
 | 124  | Indeedee           |  0.30735% | 9690   |  0.520% | 3851   |  0.456% | 
 | 125  | Kyurem-Black       |  0.30419% | 9302   |  0.499% | 5171   |  0.613% | 
